NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
ALTIER,44.494,3.852,900,janv. 2024,2024,1,44.2,4.8,8.2,15,NA,NA,NA,NA
ALTIER,44.494,3.852,900,févr. 2024,2024,2,69.2,7.3,10.8,26,NA,NA,NA,NA
ALTIER,44.494,3.852,900,mars 2024,2024,3,432.1,5.8,9.4,117.7,NA,NA,NA,NA
ALTIER,44.494,3.852,900,avr. 2024,2024,4,127.4,7.7,11.5,40.4,NA,NA,NA,NA
ALTIER,44.494,3.852,900,mai 2024,2024,5,137.6,10.7,15,44.4,NA,NA,NA,NA
ALTIER,44.494,3.852,900,juin 2024,2024,6,74.6,15.5,20,27.6,NA,NA,NA,NA
ALTIER,44.494,3.852,900,juil. 2024,2024,7,59.4,19.4,24.9,30,NA,NA,NA,NA
ALTIER,44.494,3.852,900,août 2024,2024,8,27.6,20.9,26.9,8.2,NA,NA,NA,NA
ALTIER,44.494,3.852,900,sept. 2024,2024,9,108.8,13.3,17.1,62.3,NA,NA,NA,NA
ALTIER,44.494,3.852,900,oct. 2024,2024,10,582.3,12.1,15.5,151.1,NA,NA,NA,NA
ALTIER,44.494,3.852,900,nov. 2024,2024,11,63.9,8.3,11.9,15.2,NA,NA,NA,NA
ALTIER,44.494,3.852,900,déc. 2024,2024,12,32.8,4.8,8.4,11.6,NA,NA,NA,NA
ALTIER,44.494,3.852,900,janv. 2025,2025,1,138,4,7.3,48.2,NA,NA,NA,NA
ALTIER,44.494,3.852,900,févr. 2025,2025,2,129.8,5.4,8.8,59.2,1,NA,NA,NA
ALTIER,44.494,3.852,900,mars 2025,2025,3,210.1,5.8,9,58.1,NA,NA,NA,NA
ALTIER,44.494,3.852,900,avr. 2025,2025,4,127.2,10.3,14.7,46.4,NA,NA,NA,NA
ALTIER,44.494,3.852,900,mai 2025,2025,5,75.8,13.4,18,24.9,NA,NA,NA,NA
ALTIER,44.494,3.852,900,juin 2025,2025,6,33.9,20.8,26.7,18.7,NA,NA,NA,NA
ALTIER,44.494,3.852,900,juil. 2025,2025,7,31,20.2,26,12.6,NA,NA,NA,NA
ALTIER,44.494,3.852,900,août 2025,2025,8,55.5,21.5,27.8,34.8,NA,NA,NA,NA
ALTIER,44.494,3.852,900,sept. 2025,2025,9,18.1,16.3,21.2,12.9,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,janv. 2024,2024,1,50.6,2.3,7,14.6,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,févr. 2024,2024,2,69.5,4.8,9.6,22.3,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,mars 2024,2024,3,173.4,5.4,10.2,75.5,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,avr. 2024,2024,4,101,7.2,11.9,28.6,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,mai 2024,2024,5,111.2,10,15.4,35.2,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,juin 2024,2024,6,65.9,14.7,20.5,29,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,juil. 2024,2024,7,100.4,17.6,24.9,65.4,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,août 2024,2024,8,63,17.9,26.1,32.9,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,sept. 2024,2024,9,163.4,11.8,16.5,56.9,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,oct. 2024,2024,10,167.5,11.7,16.4,43.7,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,nov. 2024,2024,11,73.7,6.3,12,21.3,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,déc. 2024,2024,12,50.3,2.1,7.5,13.1,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,janv. 2025,2025,1,79.5,2.3,6.8,14.3,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,févr. 2025,2025,2,65.6,3.4,8.7,25.1,1,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,mars 2025,2025,3,61.8,4.2,8.4,12.1,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,avr. 2025,2025,4,99,8.2,14.4,47.3,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,mai 2025,2025,5,68.8,10.7,16.9,25.7,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,juin 2025,2025,6,27.9,17.9,26.1,8.5,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,juil. 2025,2025,7,89.3,16.7,24,43.1,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,août 2025,2025,8,112.7,17.7,26.4,37.3,NA,NA,NA,NA
AUMONT AUBRAC,44.727167,3.279833,1018,sept. 2025,2025,9,20.3,13.9,19.1,9.1,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,janv. 2024,2024,1,49,3.4,6.3,20,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,févr. 2024,2024,2,75.6,6,9.6,30.4,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,mars 2024,2024,3,440.6,6,9.6,120.1,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,avr. 2024,2024,4,246.6,7.6,11.6,78.1,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,mai 2024,2024,5,171.4,10.7,14.9,59.4,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,juin 2024,2024,6,56.3,15.1,19.8,32.5,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,juil. 2024,2024,7,27.4,19,24.3,11.2,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,août 2024,2024,8,104.1,20.3,26,41.8,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,sept. 2024,2024,9,106.7,12.5,16.2,45.6,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,oct. 2024,2024,10,651.6,11.8,14.7,147.7,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,nov. 2024,2024,11,114.6,7.7,11,41.2,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,déc. 2024,2024,12,36.8,3.9,7.3,20,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,janv. 2025,2025,1,132.6,3.3,6.7,35,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,févr. 2025,2025,2,154.4,4.1,7.6,49.4,1,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,mars 2025,2025,3,195,4.6,7.8,53.2,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,avr. 2025,2025,4,173.4,8.9,13.1,83.6,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,mai 2025,2025,5,98.8,11.8,16.4,21.2,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,juin 2025,2025,6,92.4,19.5,25,32.9,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,juil. 2025,2025,7,53.2,18.5,23.9,14.9,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,août 2025,2025,8,101.7,20.2,26.1,43.7,NA,NA,NA,NA
BASSURELS,44.1965,3.630667,1042,sept. 2025,2025,9,16.9,14.8,19,11.9,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,janv. 2024,2024,1,49.7,2.8,6.4,12.4,5,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,févr. 2024,2024,2,84,5,8.9,30.1,1,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,mars 2024,2024,3,316.9,5.2,9.1,79.4,6,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,avr. 2024,2024,4,132.8,6.8,10.9,43.6,3,NA,1,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,mai 2024,2024,5,160.7,10,14.6,56.8,NA,1,1,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,juin 2024,2024,6,75.8,14.6,19.5,21.4,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,juil. 2024,2024,7,60.3,18.4,24.4,24.5,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,août 2024,2024,8,32.5,19.7,26.4,16.3,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,sept. 2024,2024,9,98.7,11.8,15.9,41.6,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,oct. 2024,2024,10,343.7,11.6,15.4,60.6,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,nov. 2024,2024,11,58.9,7.3,11.3,17.5,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,déc. 2024,2024,12,49.4,2.9,6.6,13.1,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,janv. 2025,2025,1,115.3,2.4,6.2,39.6,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,févr. 2025,2025,2,124.2,3.4,7.4,47,1,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,mars 2025,2025,3,139.5,3.8,7.1,31.5,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,avr. 2025,2025,4,121.7,8.2,13,39.3,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,mai 2025,2025,5,87.6,11.2,16.2,17.5,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,juin 2025,2025,6,86.1,18.9,25.2,48.2,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,juil. 2025,2025,7,46.6,17.6,23.8,12.4,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,août 2025,2025,8,62.6,19.5,26.5,31,NA,NA,NA,NA
LE BLEYMARD BOURG,44.504667,3.737667,1199,sept. 2025,2025,9,30.4,14.4,19.4,15.7,NA,NA,NA,NA
LE BLEYMARD_SAPC,44.4515,3.748167,1418,janv. 2024,2024,1,35.3,1.7,4.7,9.6,NA,NA,NA,NA
LE BLEYMARD_SAPC,44.4515,3.748167,1418,févr. 2024,2024,2,64.7,3.5,6.8,20.8,NA,NA,NA,NA
LE BLEYMARD_SAPC,44.4515,3.748167,1418,mars 2024,2024,3,352.5,3.4,6.4,96.6,NA,NA,NA,NA
