NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
BELVES,44.782667000000004,0.956,238,janv. 2024,2024,1,34,6.8,9.8,10,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,févr. 2024,2024,2,117.3,8.7,11.9,28.7,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,mars 2024,2024,3,120.4,11,15.5,20.8,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,avr. 2024,2024,4,72.9,13.1,18.3,16.6,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,mai 2024,2024,5,153.4,14.8,19.1,18,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,juin 2024,2024,6,68.7,19,24.1,15,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,juil. 2024,2024,7,36.5,21.7,27.4,15.5,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,août 2024,2024,8,9,22,28.3,4,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,sept. 2024,2024,9,104.8,16.4,20.7,24.5,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,oct. 2024,2024,10,103,16,20.3,54,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,nov. 2024,2024,11,52.9,11.5,16,16.8,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,déc. 2024,2024,12,54.7,6.1,9.2,12.4,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,janv. 2025,2025,1,99.9,6.4,10,15.6,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,févr. 2025,2025,2,30,8.8,13.5,11.4,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,mars 2025,2025,3,55.6,10.4,15.4,17.8,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,avr. 2025,2025,4,130.2,13.7,19,24.6,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,mai 2025,2025,5,75.9,16.5,22.2,40.7,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,juin 2025,2025,6,44.7,22,27.9,16,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,juil. 2025,2025,7,22.8,21.6,27.5,7.2,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,août 2025,2025,8,72.7,23.5,30.2,29.3,NA,NA,NA,NA
BELVES,44.782667000000004,0.956,238,sept. 2025,2025,9,30.4,18.7,23.3,9.2,NA,NA,NA,NA
BERGERAC,44.822833,0.524167,49,janv. 2024,2024,1,38.3,6.6,10.5,8.6,0,NA,0,11
BERGERAC,44.822833,0.524167,49,févr. 2024,2024,2,95.7,9.3,13.1,21,0,NA,0,9
BERGERAC,44.822833,0.524167,49,mars 2024,2024,3,125.1,10.8,16.4,21,0,NA,3,7
BERGERAC,44.822833,0.524167,49,avr. 2024,2024,4,74,13.1,19.4,27.4,0,NA,2,2
BERGERAC,44.822833,0.524167,49,mai 2024,2024,5,142.5,15.2,20.5,20,0,NA,3,5
BERGERAC,44.822833,0.524167,49,juin 2024,2024,6,62.7,19.4,25.3,17.3,0,NA,8,5
BERGERAC,44.822833,0.524167,49,juil. 2024,2024,7,22.9,22,29,8.3,0,NA,2,10
BERGERAC,44.822833,0.524167,49,août 2024,2024,8,17.4,22,29.8,11,0,NA,1,4
BERGERAC,44.822833,0.524167,49,sept. 2024,2024,9,116.4,16.7,22.3,30.1,0,NA,2,10
BERGERAC,44.822833,0.524167,49,oct. 2024,2024,10,115.5,15.9,20.9,43.2,0,NA,3,20
BERGERAC,44.822833,0.524167,49,nov. 2024,2024,11,63.8,11,16.7,17.1,0,NA,0,23
BERGERAC,44.822833,0.524167,49,déc. 2024,2024,12,50.2,6.3,10.1,10.1,0,NA,0,13
BERGERAC,44.822833,0.524167,49,janv. 2025,2025,1,79.5,6.4,10.7,12.5,0,NA,0,6
BERGERAC,44.822833,0.524167,49,févr. 2025,2025,2,38.3,8.2,14.4,12.1,0,NA,0,10
BERGERAC,44.822833,0.524167,49,mars 2025,2025,3,56.6,10.1,16.5,29.6,0,NA,0,5
BERGERAC,44.822833,0.524167,49,avr. 2025,2025,4,98.3,13.5,20.3,27.8,0,NA,2,11
BERGERAC,44.822833,0.524167,49,mai 2025,2025,5,68.7,16.4,23.6,36.3,0,NA,5,5
BERGERAC,44.822833,0.524167,49,juin 2025,2025,6,39.5,22.1,29.3,8.7,0,NA,5,6
BERGERAC,44.822833,0.524167,49,juil. 2025,2025,7,17,22,29.4,4,0,NA,3,5
BERGERAC,44.822833,0.524167,49,août 2025,2025,8,30.8,23.4,31.7,8.7,0,NA,7,4
BERGERAC,44.822833,0.524167,49,sept. 2025,2025,9,14.6,19.4,25.3,5.4,0,NA,1,1
BRANTOME,45.356833,0.645833,129,janv. 2024,2024,1,47.8,6.5,10.5,15.6,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,févr. 2024,2024,2,133.9,8.9,12.6,25.7,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,mars 2024,2024,3,149.6,10.5,15.8,34.8,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,avr. 2024,2024,4,71.6,12.9,19.1,28.4,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,mai 2024,2024,5,163.8,14.7,19.7,43.1,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,juin 2024,2024,6,106.6,19.1,25,36,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,juil. 2024,2024,7,17.4,21.6,28.6,3.6,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,août 2024,2024,8,21.2,21.6,29.2,12.4,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,sept. 2024,2024,9,103,16.1,21.3,21.9,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,oct. 2024,2024,10,135.9,15.7,20.8,43,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,nov. 2024,2024,11,63.9,11,16.7,25.5,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,déc. 2024,2024,12,60.4,6.1,10.2,14.1,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,janv. 2025,2025,1,118,6.3,10.8,17.9,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,févr. 2025,2025,2,64,8.2,14,17.1,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,mars 2025,2025,3,47.8,9.9,15.7,15.1,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,avr. 2025,2025,4,140.8,13.5,20.4,46.3,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,mai 2025,2025,5,28.8,16.5,23.7,11.6,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,juin 2025,2025,6,17.8,22.5,30.1,6,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,juil. 2025,2025,7,42.5,21.7,28.7,11.8,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,août 2025,2025,8,41.3,22.8,31.2,18.3,NA,NA,NA,NA
BRANTOME,45.356833,0.645833,129,sept. 2025,2025,9,43.6,18.6,23.8,9.5,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,janv. 2024,2024,1,49.6,6.5,9.5,14.4,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,févr. 2024,2024,2,121.6,8.6,11.5,21.4,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,mars 2024,2024,3,131.4,10.6,15,26.2,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,avr. 2024,2024,4,70.9,13.1,18.4,30.9,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,mai 2024,2024,5,176.5,14.6,19,32.7,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,juin 2024,2024,6,56.9,19,24,17,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,juil. 2024,2024,7,28.1,21.9,28.1,5.4,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,août 2024,2024,8,15.2,22.1,28.6,2.8,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,sept. 2024,2024,9,103.2,16.4,21,25.7,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,oct. 2024,2024,10,136.2,15.8,20.2,41.8,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,nov. 2024,2024,11,65.2,11.4,15.8,26.8,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,déc. 2024,2024,12,62.6,6.2,9.3,14.8,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,janv. 2025,2025,1,111,6.2,9.6,18.2,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,févr. 2025,2025,2,33.4,8.6,13,7.6,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,mars 2025,2025,3,44.6,10,14.8,15.2,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,avr. 2025,2025,4,135.6,13.7,19.2,50,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,mai 2025,2025,5,45.9,16.6,22.4,16.1,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,juin 2025,2025,6,19.8,22.3,28.6,9.8,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,juil. 2025,2025,7,18,21.8,27.8,7,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,août 2025,2025,8,45.2,23.3,30.2,22,NA,NA,NA,NA
COULOUNIEIX,45.1595,0.676667,217,sept. 2025,2025,9,41.2,18.6,23.3,10.4,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,janv. 2024,2024,1,50,6.9,10.3,10.5,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,févr. 2024,2024,2,107.5,8.9,12.5,16.9,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,mars 2024,2024,3,117,11,16.4,24.2,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,avr. 2024,2024,4,84.3,13.1,19,16.5,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,mai 2024,2024,5,139.6,15.1,20.1,18.4,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,juin 2024,2024,6,44.9,19.3,24.9,14.3,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,juil. 2024,2024,7,25.2,22.1,28.7,7,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,août 2024,2024,8,36.3,22.3,29.5,15.3,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,sept. 2024,2024,9,159.2,16.5,21.4,58.7,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,oct. 2024,2024,10,141.5,16.3,21.2,70.1,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,nov. 2024,2024,11,58.9,11,16.5,18.1,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,déc. 2024,2024,12,66,6.1,9.7,12.4,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,janv. 2025,2025,1,91.9,6.3,10.7,14.9,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,févr. 2025,2025,2,25.8,8.2,14.1,8.6,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,mars 2025,2025,3,64.2,10.3,16,24.5,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,avr. 2025,2025,4,166.5,13.9,20.1,40.9,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,mai 2025,2025,5,33.8,16.8,23.6,14,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,juin 2025,2025,6,38.8,22.2,29.1,14.9,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,juil. 2025,2025,7,31.7,21.9,28.3,10.2,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,août 2025,2025,8,55.2,23.4,31.2,20.6,NA,NA,NA,NA
DOMME,44.798333,1.219667,165,sept. 2025,2025,9,24.6,18.9,24.2,4.8,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,janv. 2024,2024,1,42.6,5.8,9.3,9.6,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,févr. 2024,2024,2,114.3,8.6,12.4,18.5,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,mars 2024,2024,3,134.2,10.5,16.5,28.7,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,avr. 2024,2024,4,74,12.8,19.6,15.7,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,mai 2024,2024,5,157.2,14.7,20.1,25.6,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,juin 2024,2024,6,106.5,18.8,24.8,30,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,juil. 2024,2024,7,32.5,21.4,28.3,12.3,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,août 2024,2024,8,16.2,21.6,29.3,3.8,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,sept. 2024,2024,9,125.3,15.6,20.5,40.5,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,oct. 2024,2024,10,113.5,14.8,19.2,40.7,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,nov. 2024,2024,11,40.6,9.4,14.3,16.1,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,déc. 2024,2024,12,66.8,4.9,8.3,13.1,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,janv. 2025,2025,1,111.6,4.9,9,15.7,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,févr. 2025,2025,2,40.6,8,14.1,10.2,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,mars 2025,2025,3,50.5,9.9,16.1,15.7,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,avr. 2025,2025,4,136,13.5,20,37.4,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,mai 2025,2025,5,70.1,16.3,23.4,37.6,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,juin 2025,2025,6,43.5,22.1,29.3,8.5,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,juil. 2025,2025,7,24.1,21.7,29.1,14.1,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,août 2025,2025,8,57.8,23.1,31.6,24.6,NA,NA,NA,NA
LES EYZIES DE TAYAC,44.954667,1.021,112,sept. 2025,2025,9,16.4,18.6,24.3,3.4,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,janv. 2024,2024,1,21.8,7.1,10.7,3.8,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,févr. 2024,2024,2,91.1,9.9,13.7,20,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,mars 2024,2024,3,138.1,11.4,16.9,31.4,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,avr. 2024,2024,4,54,13.6,19.9,18,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,mai 2024,2024,5,136.4,15.5,20.5,52.3,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,juin 2024,2024,6,62.2,19.6,25.2,15.3,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,juil. 2024,2024,7,21.1,21.9,28,7.9,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,août 2024,2024,8,17.2,21.8,28.5,5.4,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,sept. 2024,2024,9,146.1,16.9,21.6,28.7,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,oct. 2024,2024,10,113.8,15.8,20.1,38.4,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,nov. 2024,2024,11,41.6,11.6,16.2,13.3,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,déc. 2024,2024,12,54.8,7.1,10.5,10,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,janv. 2025,2025,1,88.7,6.7,10.6,12.5,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,févr. 2025,2025,2,34,9.2,14.6,7,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,mars 2025,2025,3,60,10.9,16.9,24.3,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,avr. 2025,2025,4,114.8,14.2,20.2,32.2,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,mai 2025,2025,5,63.1,17.3,23.7,20.8,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,juin 2025,2025,6,26.6,22.4,28.8,6.4,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,juil. 2025,2025,7,40,22,28.2,23.6,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,août 2025,2025,8,45.9,23.1,30.2,18.6,NA,NA,NA,NA
LAMOTHE MONTRAV,44.837333,0.041167,9,sept. 2025,2025,9,17.8,19.2,24.1,5,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,janv. 2024,2024,1,50.4,7.3,10.8,11,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,févr. 2024,2024,2,127,9.1,13,23.3,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,mars 2024,2024,3,143.4,11.4,16.8,26.7,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,avr. 2024,2024,4,71.7,13.6,20,17.7,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,mai 2024,2024,5,156.6,15.4,20.9,19.3,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,juin 2024,2024,6,116.8,19.5,25.6,46.5,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,juil. 2024,2024,7,47.3,22.3,29.2,19.8,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,août 2024,2024,8,12.2,22.9,31,4.8,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,sept. 2024,2024,9,117.4,16.9,22.3,23.7,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,oct. 2024,2024,10,120.7,16.5,21.7,63,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,nov. 2024,2024,11,61.3,12,17.4,18.1,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,déc. 2024,2024,12,65.6,6.7,10.4,11.5,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,janv. 2025,2025,1,102.2,6.6,10.8,14.7,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,févr. 2025,2025,2,36.9,9.2,15,14.7,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,mars 2025,2025,3,59.8,10.9,16.8,23.1,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,avr. 2025,2025,4,116.6,14.1,20.3,20.3,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,mai 2025,2025,5,100.1,16.9,23.7,36.6,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,juin 2025,2025,6,37.3,22.5,29.6,12.7,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,juil. 2025,2025,7,35.7,22.3,29.3,9.1,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,août 2025,2025,8,69.3,24,32.1,18.6,NA,NA,NA,NA
MONPAZIER,44.684,0.891667,199,sept. 2025,2025,9,26.5,19.2,24.8,11.9,NA,NA,NA,NA
MONTIGNAC,45.052167,1.147333,77,janv. 2024,2024,1,46.8,6.6,10.7,14.4,NA,NA,NA,NA
MONTIGNAC,45.052167,1.147333,77,févr. 2024,2024,2,109.3,9.1,13.1,18.5,NA,NA,NA,NA
MONTIGNAC,45.052167,1.147333,77,mars 2024,2024,3,127.9,10.9,17,35.9,NA,NA,NA,NA
MONTIGNAC,45.052167,1.147333,77,avr. 2024,2024,4,86.1,13,19.7,23.2,NA,NA,NA,NA
MONTIGNAC,45.052167,1.147333,77,mai 2024,2024,5,162.7,15.4,20.9,27.6,NA,NA,NA,NA
