NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
ALBA LA ROMAINE,44.539833,4.5825,223,janv. 2024,2024,1,40,6.1,10.4,9.4,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,févr. 2024,2024,2,111.6,9.2,13.8,48.4,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,mars 2024,2024,3,337.9,11,16,86.1,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,avr. 2024,2024,4,73.4,12.9,18,33.7,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,mai 2024,2024,5,168.2,15.8,21.3,31.1,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,juin 2024,2024,6,78.9,20.7,26.3,17.2,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,juil. 2024,2024,7,25.8,23.9,30.6,15.2,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,août 2024,2024,8,40.5,25.2,32,26.2,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,sept. 2024,2024,9,195.3,18,23,92.8,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,oct. 2024,2024,10,154.2,16.1,20.4,49.4,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,nov. 2024,2024,11,35.9,10,14.6,14.9,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,déc. 2024,2024,12,22.9,5.6,10,14.5,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,janv. 2025,2025,1,132.2,6.1,9.9,33.1,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,févr. 2025,2025,2,112.9,7.6,11.5,31.9,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,mars 2025,2025,3,160.7,10,14.7,37.3,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,avr. 2025,2025,4,52.7,14.2,20.1,20.1,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,mai 2025,2025,5,66.4,17.3,23.1,18.7,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,juin 2025,2025,6,23.6,24.7,31.7,17.2,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,juil. 2025,2025,7,61.2,23.8,30.5,30.1,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,août 2025,2025,8,69.8,24.4,31.8,47.8,NA,NA,NA,NA
ALBA LA ROMAINE,44.539833,4.5825,223,sept. 2025,2025,9,66.7,19.4,25,30,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,janv. 2024,2024,1,28.6,5,9.6,7.2,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,févr. 2024,2024,2,52.4,8.3,12.8,16.5,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,mars 2024,2024,3,215.9,10.1,15.6,46.7,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,avr. 2024,2024,4,88,12.1,17.4,50.6,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,mai 2024,2024,5,142,14.9,20.7,24.4,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,juin 2024,2024,6,73.3,19.8,25.8,14.9,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,juil. 2024,2024,7,62.6,22.3,29.4,25.5,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,août 2024,2024,8,28.8,23.2,31.2,21,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,sept. 2024,2024,9,123.1,16.5,22.1,34,NA,NA,NA,NA
ANNONAY,45.246167,4.6705,336,oct. 2024,2024,10,249.9,15.3,20.4,107.7,NA,NA,NA,NA
