NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
ALOS EAUX-ET-FORETS,42.908333,1.145,700,janv. 1924,1924,1,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mars 1924,1924,3,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,avr. 1924,1924,4,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mai 1924,1924,5,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juin 1924,1924,6,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juil. 1924,1924,7,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,août 1924,1924,8,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,sept. 1924,1924,9,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,oct. 1924,1924,10,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,nov. 1924,1924,11,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,déc. 1924,1924,12,NA,NA,NA,NA,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,janv. 1928,1928,1,122.4,NA,NA,22.4,5,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,févr. 1928,1928,2,20.2,NA,NA,7.6,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mars 1928,1928,3,193.4,NA,NA,64.8,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,avr. 1928,1928,4,139.1,NA,NA,36.2,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mai 1928,1928,5,154.6,NA,NA,37.1,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juin 1928,1928,6,45.7,NA,NA,11.7,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juil. 1928,1928,7,83.9,NA,NA,42.3,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,août 1928,1928,8,59.4,NA,NA,27.3,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,oct. 1928,1928,10,162,NA,NA,47.6,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,nov. 1928,1928,11,210.7,NA,NA,48.8,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,déc. 1928,1928,12,118,NA,NA,32.4,3,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,janv. 1929,1929,1,36.2,NA,NA,8.3,6,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,févr. 1929,1929,2,86.3,NA,NA,25.4,4,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mars 1929,1929,3,18.6,NA,NA,12.4,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,avr. 1929,1929,4,61.7,NA,NA,14.2,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,sept. 1929,1929,9,111,NA,NA,43.7,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,oct. 1929,1929,10,159.1,NA,NA,40.9,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,nov. 1929,1929,11,176.4,NA,NA,30.3,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,déc. 1929,1929,12,41.5,NA,NA,10.8,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juil. 1930,1930,7,71.3,NA,NA,28,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,août 1930,1930,8,82.2,NA,NA,19.4,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,sept. 1930,1930,9,94.9,NA,NA,14.1,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,oct. 1930,1930,10,272.8,NA,NA,62.3,2,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,nov. 1930,1930,11,63.1,NA,NA,27.3,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,déc. 1930,1930,12,168.6,NA,NA,29.2,3,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,janv. 1932,1932,1,20.5,NA,NA,10.6,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,févr. 1932,1932,2,9.5,NA,NA,4.6,5,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mars 1932,1932,3,88.5,NA,NA,23.5,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,avr. 1932,1932,4,148.3,NA,NA,37.2,3,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mai 1932,1932,5,121.6,NA,NA,16.5,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juin 1932,1932,6,156.6,NA,NA,30,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juil. 1932,1932,7,302.4,NA,NA,36.1,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,août 1932,1932,8,112.9,NA,NA,35.4,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,sept. 1932,1932,9,73.8,NA,NA,12.5,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,oct. 1932,1932,10,128.5,NA,NA,20.9,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,nov. 1932,1932,11,94.5,NA,NA,23.9,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,déc. 1932,1932,12,86.6,NA,NA,29.5,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,janv. 1933,1933,1,43.5,NA,NA,21.9,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,févr. 1933,1933,2,94.4,NA,NA,18.6,5,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mars 1933,1933,3,132.3,NA,NA,52.8,2,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,avr. 1933,1933,4,68.3,NA,NA,19.4,1,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mai 1933,1933,5,58.5,NA,NA,14.2,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juin 1933,1933,6,44.7,NA,NA,21.2,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,juil. 1933,1933,7,96.2,NA,NA,41.5,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,août 1933,1933,8,13.4,NA,NA,8.1,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,sept. 1933,1933,9,80.5,NA,NA,18.8,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,oct. 1933,1933,10,77.8,NA,NA,14.8,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,nov. 1933,1933,11,140.9,NA,NA,22.8,3,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,déc. 1933,1933,12,88,NA,NA,15.3,NA,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,janv. 1934,1934,1,52.7,NA,NA,10.8,9,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,févr. 1934,1934,2,21.3,NA,NA,18.2,2,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mars 1934,1934,3,72.2,NA,NA,12.3,2,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,avr. 1934,1934,4,116.9,NA,NA,18.8,2,NA,NA,NA
ALOS EAUX-ET-FORETS,42.908333,1.145,700,mai 1934,1934,5,83.1,NA,NA,20.7,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1928,1928,1,86.2,NA,NA,20.2,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1928,1928,2,55,NA,NA,14.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1928,1928,3,157.2,NA,NA,31.3,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1928,1928,4,95.3,NA,NA,27.5,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1928,1928,5,153.1,NA,NA,32.7,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1928,1928,6,33.4,NA,NA,8.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1928,1928,7,81.3,NA,NA,20,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1928,1928,8,79.6,NA,NA,41.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1928,1928,9,23.6,NA,NA,9.9,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1928,1928,10,135,NA,NA,31.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1928,1928,11,135.2,NA,NA,20.3,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1928,1928,12,97.5,NA,NA,26.1,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1929,1929,1,54.9,NA,NA,13.2,11,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1929,1929,2,78.8,NA,NA,22.4,4,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1929,1929,3,27.4,NA,NA,13.1,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1929,1929,4,48.5,NA,NA,14.2,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1929,1929,5,143.8,NA,NA,28.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1929,1929,6,110.9,NA,NA,42.9,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1929,1929,7,64,NA,NA,14.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1929,1929,8,101.4,NA,NA,35.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1929,1929,9,129.6,NA,NA,40.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1929,1929,10,177.9,NA,NA,42.3,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1929,1929,11,193,NA,NA,91.9,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1929,1929,12,67.6,NA,NA,8.3,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1930,1930,1,84.5,NA,NA,37.1,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1930,1930,2,83.7,NA,NA,18,10,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1930,1930,3,186.8,NA,NA,41.9,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1930,1930,4,199.5,NA,NA,30.2,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1930,1930,5,119.5,NA,NA,16.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1930,1930,6,86.4,NA,NA,18.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1930,1930,7,81.4,NA,NA,30.7,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1930,1930,8,117,NA,NA,30.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1930,1930,9,92,NA,NA,20.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1930,1930,10,181.9,NA,NA,51.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1930,1930,11,67.3,NA,NA,16.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1930,1930,12,152.4,NA,NA,40.1,3,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1931,1931,1,121.4,NA,NA,26.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1931,1931,2,179.2,NA,NA,28.7,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1931,1931,3,110.7,NA,NA,19.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1931,1931,4,42.1,NA,NA,12.9,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1931,1931,5,74,NA,NA,27.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1931,1931,6,27,NA,NA,10.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1931,1931,7,41.9,NA,NA,8.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1931,1931,8,121.6,NA,NA,42.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1931,1931,9,100.9,NA,NA,35.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1931,1931,10,88,NA,NA,28.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1931,1931,11,201,NA,NA,50.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1931,1931,12,52.6,NA,NA,9.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1932,1932,1,13.4,NA,NA,8.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1932,1932,2,10.4,NA,NA,3.8,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1932,1932,3,64.8,NA,NA,23.8,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1932,1932,4,133.6,NA,NA,46.6,6,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1932,1932,5,107.8,NA,NA,12.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1932,1932,6,177.9,NA,NA,42.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1932,1932,7,302.5,NA,NA,53.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1932,1932,8,85.9,NA,NA,22.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1932,1932,9,70.3,NA,NA,13.7,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1932,1932,10,124.8,NA,NA,15.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1932,1932,11,96.8,NA,NA,20.8,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1932,1932,12,80.9,NA,NA,22.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1933,1933,1,72.1,NA,NA,21,3,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1933,1933,2,68.6,NA,NA,25.7,4,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1933,1933,3,77.2,NA,NA,11.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1933,1933,4,119.8,NA,NA,35.5,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1933,1933,5,130.5,NA,NA,23.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1933,1933,6,174.3,NA,NA,28.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1933,1933,7,82.1,NA,NA,17.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1933,1933,8,17.3,NA,NA,6.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1933,1933,9,87.6,NA,NA,17.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1933,1933,10,67.7,NA,NA,19.3,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1933,1933,11,197.5,NA,NA,49.8,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1933,1933,12,103.6,NA,NA,19.3,13,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1934,1934,1,44.4,NA,NA,12.2,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1934,1934,2,33.7,NA,NA,16.2,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1934,1934,3,61,NA,NA,17.4,4,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1934,1934,4,87.4,NA,NA,11.3,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1934,1934,5,114.3,NA,NA,21.7,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1934,1934,6,117.6,NA,NA,28.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1934,1934,7,62.7,NA,NA,20.8,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1934,1934,8,175.7,NA,NA,50.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1934,1934,9,77.8,NA,NA,23.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1934,1934,10,38.2,NA,NA,13.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1934,1934,11,73.4,NA,NA,15.3,1,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1934,1934,12,167.4,NA,NA,28.3,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1935,1935,1,210.8,NA,NA,62.1,9,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1935,1935,2,105.5,NA,NA,26.6,3,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1935,1935,3,96.4,NA,NA,28.8,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1935,1935,4,88.6,NA,NA,27,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1935,1935,5,185.3,NA,NA,44.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1935,1935,6,35.3,NA,NA,18.5,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1935,1935,7,95.1,NA,NA,33.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,août 1935,1935,8,115.3,NA,NA,28.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,sept. 1935,1935,9,100.9,NA,NA,41.9,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,oct. 1935,1935,10,203.1,NA,NA,74.9,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,nov. 1935,1935,11,71.3,NA,NA,17.6,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,déc. 1935,1935,12,206.3,NA,NA,44.2,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,janv. 1937,1937,1,36.9,NA,NA,12,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,févr. 1937,1937,2,194.9,NA,NA,34.2,5,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mars 1937,1937,3,143.5,NA,NA,33.6,2,NA,NA,NA
ARRIEN,42.896667,1.041667,672,avr. 1937,1937,4,97.2,NA,NA,28.1,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,mai 1937,1937,5,100.2,NA,NA,30.2,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juin 1937,1937,6,158.4,NA,NA,52.4,NA,NA,NA,NA
ARRIEN,42.896667,1.041667,672,juil. 1937,1937,7,51.8,NA,NA,17.9,NA,NA,NA,NA
