NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
ALLANCHE - GEND,45.23,2.935,980,avr. 1952,1952,4,42.1,NA,NA,19.4,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1952,1952,5,67.3,NA,NA,14.2,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1952,1952,6,99,NA,NA,24.2,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1952,1952,7,11,NA,NA,7.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1952,1952,8,165.9,NA,NA,45.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1952,1952,9,103.9,NA,NA,18.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1952,1952,10,129.1,NA,NA,27.2,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1952,1952,11,141.7,NA,NA,35.1,7,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1952,1952,12,112.5,NA,NA,22.5,8,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1953,1953,1,18.8,NA,NA,7.4,3,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1953,1953,2,39.7,NA,NA,14.4,8,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1953,1953,3,5,NA,NA,2.3,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1953,1953,4,71.2,NA,NA,12.8,5,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1953,1953,5,165,NA,NA,98.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1953,1953,6,106.2,NA,NA,22.6,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1953,1953,7,87.1,NA,NA,64,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1953,1953,8,38.8,NA,NA,10.8,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1953,1953,9,78.2,NA,NA,22.6,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1953,1953,10,59.3,NA,NA,21.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1953,1953,11,23,NA,NA,14.6,1,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1953,1953,12,62.8,NA,NA,24.2,4,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1954,1954,1,110.4,NA,NA,25.1,9,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1954,1954,2,89.9,NA,NA,16.2,12,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1954,1954,3,109,NA,NA,30,4,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1954,1954,4,41.9,NA,NA,14.5,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1954,1954,5,79.6,NA,NA,16.8,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1954,1954,6,75.8,NA,NA,18.3,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1954,1954,7,44,NA,NA,12.9,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1954,1954,8,293.7,NA,NA,62,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1954,1954,9,106.7,NA,NA,20.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1954,1954,10,35.3,NA,NA,8.2,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1954,1954,11,50,NA,NA,12.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1954,1954,12,100.8,NA,NA,17.1,4,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1955,1955,1,238.6,NA,NA,26.3,1,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1955,1955,2,117.2,NA,NA,23.8,8,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1955,1955,3,28.6,NA,NA,5.6,4,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1955,1955,4,3.1,NA,NA,2.8,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1955,1955,5,56.5,NA,NA,17.9,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1955,1955,6,100.3,NA,NA,31.7,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1955,1955,7,96.6,NA,NA,16.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1955,1955,8,65.3,NA,NA,24.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1955,1955,9,36,NA,NA,13.9,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1955,1955,10,53.5,NA,NA,17.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1955,1955,11,40.5,NA,NA,21.5,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1955,1955,12,127.1,NA,NA,24.5,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1956,1956,1,79.6,NA,NA,11.2,8,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1956,1956,2,13.8,NA,NA,4.1,11,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1956,1956,3,32.2,NA,NA,11.2,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1956,1956,4,52,NA,NA,17.4,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1956,1956,5,110.3,NA,NA,25.6,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1956,1956,6,54.6,NA,NA,20.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1956,1956,7,180.9,NA,NA,55.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1956,1956,8,88.8,NA,NA,19.6,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1956,1956,9,171.7,NA,NA,40.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1956,1956,10,64.9,NA,NA,8.5,6,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1956,1956,11,33.1,NA,NA,10.4,3,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1956,1956,12,48.2,NA,NA,19.5,5,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1957,1957,1,59.2,NA,NA,13.9,7,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1957,1957,2,158.9,NA,NA,24.4,12,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1957,1957,3,34.1,NA,NA,10.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1957,1957,4,89.6,NA,NA,20.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1957,1957,5,48.5,NA,NA,10.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1957,1957,6,160.9,NA,NA,28.2,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1957,1957,7,39.9,NA,NA,15.9,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1957,1957,8,18.2,NA,NA,4.8,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1957,1957,9,79.4,NA,NA,19.1,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1957,1957,10,14.5,NA,NA,7,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1957,1957,11,42.1,NA,NA,15.5,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1957,1957,12,76.9,NA,NA,40.3,7,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1958,1958,1,101.3,NA,NA,21.5,11,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1958,1958,2,67.3,NA,NA,21,3,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1958,1958,3,112.5,NA,NA,15,6,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1958,1958,4,62.1,NA,NA,21.8,14,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1958,1958,5,90.7,NA,NA,30,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1958,1958,6,130.8,NA,NA,35,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juil. 1958,1958,7,99.1,NA,NA,15.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,août 1958,1958,8,73.4,NA,NA,22.5,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,sept. 1958,1958,9,52.5,NA,NA,21,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,oct. 1958,1958,10,54.3,NA,NA,9.7,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,nov. 1958,1958,11,53.6,NA,NA,16,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,déc. 1958,1958,12,142.4,NA,NA,24.5,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,janv. 1959,1959,1,103.2,NA,NA,21,6,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,févr. 1959,1959,2,19.5,NA,NA,10.5,3,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mars 1959,1959,3,131.9,NA,NA,35,4,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,avr. 1959,1959,4,104.9,NA,NA,14.5,2,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,mai 1959,1959,5,170.3,NA,NA,43,NA,NA,NA,NA
ALLANCHE - GEND,45.23,2.935,980,juin 1959,1959,6,110.7,NA,NA,21.7,NA,NA,NA,NA
