NOM_USUEL,LAT,LON,ALTI,AAAAMM,year,month,RR,TM,TX,RRAB,NBJNEIG,NBJGREL,NBJORAG,NBJBROU
ABRIES,44.796667,6.928333,1560,mai 1950,1950,5,76.5,NA,NA,18,1,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juin 1950,1950,6,14.2,NA,NA,9.6,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juil. 1950,1950,7,10,NA,NA,5,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,août 1950,1950,8,86.1,NA,NA,21,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,sept. 1950,1950,9,44.6,NA,NA,12.6,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,oct. 1950,1950,10,8.4,NA,NA,8.4,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,nov. 1950,1950,11,131.4,NA,NA,27.9,2,NA,NA,NA
ABRIES,44.796667,6.928333,1560,déc. 1950,1950,12,90,NA,NA,33.3,6,NA,NA,NA
ABRIES,44.796667,6.928333,1560,janv. 1951,1951,1,17.4,NA,NA,4.7,4,NA,NA,NA
ABRIES,44.796667,6.928333,1560,févr. 1951,1951,2,76.7,NA,NA,12.7,11,NA,NA,NA
ABRIES,44.796667,6.928333,1560,mars 1951,1951,3,47.8,NA,NA,12,5,NA,NA,NA
ABRIES,44.796667,6.928333,1560,avr. 1951,1951,4,60.3,NA,NA,16,3,NA,NA,NA
ABRIES,44.796667,6.928333,1560,mai 1951,1951,5,120.2,NA,NA,27.3,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juin 1951,1951,6,51.1,NA,NA,24,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juil. 1951,1951,7,21,NA,NA,7,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,août 1951,1951,8,77.8,NA,NA,31.6,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,sept. 1951,1951,9,44,NA,NA,25.6,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,oct. 1951,1951,10,120.8,NA,NA,44.2,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,nov. 1951,1951,11,91.9,NA,NA,31.6,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,déc. 1951,1951,12,33.6,NA,NA,18.8,4,NA,NA,NA
ABRIES,44.796667,6.928333,1560,janv. 1952,1952,1,27.1,NA,NA,8.7,5,NA,NA,NA
ABRIES,44.796667,6.928333,1560,févr. 1952,1952,2,10.7,NA,NA,5.7,3,NA,NA,NA
ABRIES,44.796667,6.928333,1560,mars 1952,1952,3,69.1,NA,NA,19.3,4,NA,NA,NA
ABRIES,44.796667,6.928333,1560,avr. 1952,1952,4,75.9,NA,NA,24.3,1,NA,NA,NA
ABRIES,44.796667,6.928333,1560,mai 1952,1952,5,16.5,NA,NA,4,1,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juin 1952,1952,6,26.2,NA,NA,14,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juil. 1952,1952,7,11.9,NA,NA,5.4,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,août 1952,1952,8,NA,NA,NA,NA,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,sept. 1952,1952,9,119.1,NA,NA,40,1,NA,NA,NA
ABRIES,44.796667,6.928333,1560,oct. 1952,1952,10,NA,NA,NA,NA,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,nov. 1952,1952,11,135.2,NA,NA,36.2,8,NA,NA,NA
ABRIES,44.796667,6.928333,1560,déc. 1952,1952,12,154.4,NA,NA,26,8,NA,NA,NA
ABRIES,44.796667,6.928333,1560,janv. 1953,1953,1,110,NA,NA,60,3,NA,NA,NA
ABRIES,44.796667,6.928333,1560,févr. 1953,1953,2,52.2,NA,NA,30,4,NA,NA,NA
ABRIES,44.796667,6.928333,1560,mars 1953,1953,3,21.5,NA,NA,13,2,NA,NA,NA
ABRIES,44.796667,6.928333,1560,avr. 1953,1953,4,71.8,NA,NA,25.5,2,NA,NA,NA
ABRIES,44.796667,6.928333,1560,mai 1953,1953,5,63.9,NA,NA,19.8,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juin 1953,1953,6,142,NA,NA,60,1,NA,NA,NA
ABRIES,44.796667,6.928333,1560,juil. 1953,1953,7,41.1,NA,NA,15,NA,NA,NA,NA
ABRIES,44.796667,6.928333,1560,août 1953,1953,8,38.9,NA,NA,15.2,NA,NA,NA,NA
